n,name,location,firstTeacher,start,stop
1,Volleyball,Gym,Joyner,09:15,09:25
2,Obstacle Course,Gym,Mills,09:25,09:35
3,Transition,,Jordan,09:35,09:45
4,Water balloon relay,Right blacktop,G,09:45,10:00
5,Sponge Relay,right blacktop,Gomez,10:00,10:10
6,Scooter Relay,Right blacktop,Galbreath,10:10,10:20
7,Satellite,Left blacktop,,10:20,10:30
8,Golf Putting,Left blacktop,Delgado,10:31,10:41
9,Musical Chairs,media center,Francois,10:42,10:52
10,Transition to field,,Gayle,10:52,11:03
Lunch,Lunch,,,11:10,12:10
11,Badminton Keep-up,Field,Rivera,12:10,12:21
12,Team tag,Field,,12:21,12:32
13,Hockey pirates,Field,Christie,12:32,12:43
14,Soccer game,Field,Matthews,12:43,12:54
15,Sharks & Minnows,Field,Delgado,12:54,01:05
16,hula hoops/jump ropes,Field,Ward,01:05,01:16
17,frisbee knock down,field,Wells,01:16,01:27
18,home run derby,backstop,,01:27,01:38
19,memories and chalk,in front of 4th grade portables,,01:38,01:49
20,transition to gym,,,01:49,02:00
